,Case ID,Activity,User ID,Start Time,End Time,playerAttribute_Completed
0,0,start kelp-welcome,GreatestLemon,0,1,complete
1,0,complete kelp-welcome,GreatestLemon,0,1,complete
2,0,start kelp-bull-kelp-forest,GreatestLemon,0,1,complete
3,0,complete kelp-bull-kelp-forest,GreatestLemon,0,1,complete
4,0,complete kelp-shop-welcome,GreatestLemon,0,1,complete
5,0,start kelp-energy,GreatestLemon,0,1,complete
6,0,complete kelp-energy,GreatestLemon,0,1,complete
7,0,start bayou-displaced-reef,GreatestLemon,0,1,complete
8,0,complete displaced-reef,GreatestLemon,0,1,complete
9,0,start bayou-shrimp-yields,GreatestLemon,0,1,complete
10,0,start arctic-missing-whale,GreatestLemon,0,1,complete
11,0,start arctic-salmon-monitoring,GreatestLemon,0,1,complete
12,0,complete arctic-salmon-monitoring,GreatestLemon,0,1,complete
13,0,start coral-turtle-population,GreatestLemon,0,1,complete
14,0,complete coral-turtle-population,GreatestLemon,0,1,complete
15,0,start coral-fake-fix,GreatestLemon,0,1,complete
16,0,complete coral-fake-fix,GreatestLemon,0,1,complete
17,0,start coral-lionfish-conspiracy,GreatestLemon,0,1,complete
18,0,complete coral-lionfish-conspiracy,GreatestLemon,0,1,complete
19,0,complete bayou-shrimp-yields,GreatestLemon,0,1,complete
20,0,complete arctic-missing-whale,GreatestLemon,0,1,complete
21,0,start arctic-underneath,GreatestLemon,0,1,complete
22,0,complete arctic-underneath,GreatestLemon,0,1,complete
23,0,start arctic-stationary-survival,GreatestLemon,0,1,complete
24,0,complete arctic-stationary-survival,GreatestLemon,0,1,complete
25,0,start kelp-urchin-barren,GreatestLemon,0,1,complete
26,0,complete kelp-urchin-barren-viz,GreatestLemon,0,1,complete
27,0,start boom-cause,GreatestLemon,0,1,complete
28,0,complete bayou-boom-cause,GreatestLemon,0,1,complete
29,0,start alt-energy,GreatestLemon,0,1,complete
30,0,complete bayou-alt-energy,GreatestLemon,0,1,complete
31,0,start turtle-danger,GreatestLemon,0,1,complete
32,0,complete turtle-danger,GreatestLemon,0,1,complete
33,0,start arctic-seal-habbits,GreatestLemon,0,1,complete
34,0,start kelp-urchin-farm,GreatestLemon,0,1,complete
35,0,complete kelp-urchin-farm,GreatestLemon,0,1,complete
36,0,start kelp-urchin-barren-predict,GreatestLemon,0,1,complete
37,0,complete kelp-urchin-barren-predict,GreatestLemon,0,1,complete
38,0,start coral-much-algae,GreatestLemon,0,1,complete
39,0,complete coral-much-algae,GreatestLemon,0,1,complete
40,0,start coral-fishy-bizz,GreatestLemon,0,1,complete
41,0,start kelp-save-urchin-barren,GreatestLemon,0,1,complete
42,0,complete kelp-save-urchin-barren,GreatestLemon,0,1,complete
43,0,start kelp-start-refuge,GreatestLemon,0,1,complete
44,0,complete kelp-start-refuge,GreatestLemon,0,1,complete
45,0,start kelp-refuge-failure,GreatestLemon,0,1,complete
46,0,complete kelp-refuge-failure,GreatestLemon,0,1,complete
47,0,start kelp-refuge-failure-simulation,GreatestLemon,0,1,complete
48,0,complete kelp-refuge-failure-simulation,GreatestLemon,0,1,complete
49,0,start kelp-mussel-fest,GreatestLemon,0,1,complete
50,0,complete kelp-mussel-fest,GreatestLemon,0,1,complete
51,0,start kelp-mussel-fest-solution,GreatestLemon,0,1,complete
52,0,complete kelp-musselfest-solution,GreatestLemon,0,1,complete
53,0,start bayou-blue-waters,GreatestLemon,0,1,complete
54,0,complete bayou-blue-waters,GreatestLemon,0,1,complete
55,0,start bayou-dirty-detritus,GreatestLemon,0,1,complete
56,0,complete bayou-dirty-detritus,GreatestLemon,0,1,complete
57,0,start turtle-danger2,GreatestLemon,0,1,complete
58,0,complete turtle-danger2,GreatestLemon,0,1,complete
59,0,start hide-n-seek,GreatestLemon,0,1,complete
60,0,complete bayou-hide-n-seek,GreatestLemon,0,1,complete
61,0,start reef-decision,GreatestLemon,0,1,complete
62,0,complete bayou-reef-decision,GreatestLemon,0,1,complete
63,0,start bayou-methanogen,GreatestLemon,0,1,complete
64,0,complete bayou-methanogen,GreatestLemon,0,1,complete
65,0,start bayou-oxygen-tracking,GreatestLemon,0,1,complete
66,0,complete bayou-oxygen-tracking,GreatestLemon,0,1,complete
67,0,start bayou-shrimp-tastrophe,GreatestLemon,0,1,complete
68,0,start arctic-isolated-instnace,GreatestLemon,0,1,complete
69,0,start coral-turtle-stability,GreatestLemon,0,1,complete
70,0,complete coral-turtle-stability,GreatestLemon,0,1,complete
71,0,complete coral-fishy-bizz,GreatestLemon,0,1,complete
72,0,start coral-hunting-lions,GreatestLemon,0,1,complete
73,0,complete final-final,GreatestLemon,0,1,complete
74,0,complete arctic-isolated-instance,GreatestLemon,0,1,complete
75,0,start arctic-disappearing-act,GreatestLemon,0,1,complete
76,0,complete arctic-disappearing-act,GreatestLemon,0,1,complete
77,0,start arctic-cause-of-death,GreatestLemon,0,1,complete
78,0,complete arctic-cause-of-death,GreatestLemon,0,1,complete
79,0,start arctic-time-of-death,GreatestLemon,0,1,complete
80,0,complete arctic-time-of-death,GreatestLemon,0,1,complete
81,0,start arctic-in-Ice,GreatestLemon,0,1,complete
82,0,complete arctic-in-ice,GreatestLemon,0,1,complete
83,0,start arctic-picky-eaters,GreatestLemon,0,1,complete
84,0,complete arctic-picky-eaters,GreatestLemon,0,1,complete
85,0,start arctic-salmon-competition,GreatestLemon,0,1,complete
86,0,complete arctic-salmon-competition,GreatestLemon,0,1,complete
87,0,start coral-check-up,GreatestLemon,0,1,complete
88,0,complete coral-tang-checkup,GreatestLemon,0,1,complete
89,0,start coral-stressed,GreatestLemon,0,1,complete
90,0,complete coral-stressed,GreatestLemon,0,1,complete
91,0,start coral-ocean-plastic,GreatestLemon,0,1,complete
92,0,complete coral-ocean-plastics,GreatestLemon,0,1,complete
93,0,start coral-casting-shade,GreatestLemon,0,1,complete
94,0,complete coral-casting-shade,GreatestLemon,0,1,complete
95,0,start coral-eat-seaweed,GreatestLemon,0,1,complete
96,0,complete coral-eat-seaweed,GreatestLemon,0,1,complete
97,0,start kelp-welcome,HeartyGoal,0,1,complete
98,0,complete kelp-welcome,HeartyGoal,0,1,complete
99,0,start kelp-bull-kelp-forest,HeartyGoal,0,1,complete
100,0,complete kelp-bull-kelp-forest,HeartyGoal,0,1,complete
101,0,complete kelp-shop-welcome,HeartyGoal,0,1,complete
102,0,start arctic-missing-whale,HeartyGoal,0,1,complete
103,0,start arctic-salmon-monitoring,HeartyGoal,0,1,complete
104,0,start coral-turtle-population,HeartyGoal,0,1,complete
105,0,start bayou-shrimp-yields,HeartyGoal,0,1,complete
106,0,complete bayou-shrimp-yields,HeartyGoal,0,1,complete
107,0,start bayou-displaced-reef,HeartyGoal,0,1,complete
108,0,complete displaced-reef,HeartyGoal,0,1,complete
109,0,start kelp-energy,HeartyGoal,0,1,complete
110,0,complete kelp-energy,HeartyGoal,0,1,complete
111,0,complete arctic-missing-whale,HeartyGoal,0,1,complete
112,0,start arctic-underneath,HeartyGoal,0,1,complete
113,0,complete arctic-underneath,HeartyGoal,0,1,complete
114,0,start arctic-stationary-survival,HeartyGoal,0,1,complete
115,0,complete arctic-stationary-survival,HeartyGoal,0,1,complete
116,0,complete arctic-salmon-monitoring,HeartyGoal,0,1,complete
